River;Reach;Sample;Functional_group;d13C_‰;d15N_‰
Urumea;Control;Anguilla_anguilla;Fish;-23.63;5.68
Urumea;Control;Anguilla_anguilla;Fish;-22.57;5.7
Urumea;Control;Anguilla_anguilla;Fish;-22.42;6.5
Urumea;Control;Phoxinus_bigerri;Fish;-25.09;5.29
Urumea;Control;Phoxinus_bigerri;Fish;-23.92;6.22
Urumea;Control;Phoxinus_bigerri;Fish;-22.95;5.38
Urumea;Control;Phoxinus_bigerri;Fish;-24.43;5.79
Urumea;Control;Salmo_trutta;Fish;-23.28;6.4
Urumea;Control;Salmo_trutta;Fish;-22.05;6.82
Urumea;Control;Salmo_trutta;Fish;-22.18;5.6
Urumea;Control;Salmo_trutta;Fish;-23.8;5.22
Urumea;Control;Salmo_trutta;Fish;-24.12;5.6
Urumea;Control;Rhyacophila;Predatory_invertebrates;-23.41;2.8
Urumea;Control;Rhyacophila;Predatory_invertebrates;-23.52;2.31
Urumea;Control;Rhyacophila;Predatory_invertebrates;-23.61;2.53
Urumea;Control;Rhyacophila;Predatory_invertebrates;-19.74;1.6
Urumea;Control;Rhyacophila;Predatory_invertebrates;-20.24;1.82
Urumea;Control;Rhyacophila;Predatory_invertebrates;-20.04;1.46
Urumea;Control;Rhyacophila;Predatory_invertebrates;-20.36;1.52
Urumea;Control;Baetis;Primary_consumers;-21.47;1.32
Urumea;Control;Baetis;Primary_consumers;-21.14;1.34
Urumea;Control;Baetis;Primary_consumers;-21.07;1.32
Urumea;Control;Baetis;Primary_consumers;-20.82;1.19
Urumea;Control;Baetis;Primary_consumers;-19.75;1.23
Urumea;Control;Baetis;Primary_consumers;-22.42;1.31
Urumea;Control;Baetis;Primary_consumers;-22.24;1.23
Urumea;Control;Baetis;Primary_consumers;-21.96;1.3
Urumea;Control;Ecdyonurus;Primary_consumers;-22.46;1.55
Urumea;Control;Ecdyonurus;Primary_consumers;-20.71;2.05
Urumea;Control;Ecdyonurus;Primary_consumers;-20.46;1.82
Urumea;Control;Ecdyonurus;Primary_consumers;-20.52;1.8
Urumea;Control;Ecdyonurus;Primary_consumers;-24.27;1.51
Urumea;Control;Echinogammarus;Primary_consumers;-24.06;1.7
Urumea;Control;Echinogammarus;Primary_consumers;-23.8;1.62
Urumea;Control;Echinogammarus;Primary_consumers;-23.18;1.51
Urumea;Control;Echinogammarus;Primary_consumers;-23.84;1.89
Urumea;Control;Ephemerella;Primary_consumers;-23.72;1.39
Urumea;Control;Ephemerella;Primary_consumers;-23.39;1.19
Urumea;Control;Ephemerella;Primary_consumers;-21.75;1.34
Urumea;Control;Ephemerella;Primary_consumers;-22.18;1.4
Urumea;Control;Ephemerella;Primary_consumers;-21.71;1.46
Urumea;Control;Ephemerella;Primary_consumers;-22.77;1.33
Urumea;Control;Ephemerella;Primary_consumers;-22.55;1.34
Urumea;Control;Ephemerella;Primary_consumers;-22.15;1.27
Urumea;Control;Ephemerella;Primary_consumers;-23.54;0.93
Urumea;Control;Hydropsyche;Primary_consumers;-23.94;2.58
Urumea;Control;Hydropsyche;Primary_consumers;-24;2.71
Urumea;Control;Hydropsyche;Primary_consumers;-24.25;2.08
Urumea;Control;Hydropsyche;Primary_consumers;-24.33;2.13
Urumea;Control;Hydropsyche;Primary_consumers;-24.07;2.5
Urumea;Control;Hydropsyche;Primary_consumers;-24.69;2.51
Urumea;Diverted;Alnus_A;Basal_food_resources;-29.63;-1.78
Urumea;Diverted;Alnus_A;Basal_food_resources;-29.73;-1.7
Urumea;Diverted;Alnus_A;Basal_food_resources;-29.31;-1.91
Urumea;Diverted;Biofilm;Basal_food_resources;-23.78;0.37
Urumea;Diverted;Biofilm;Basal_food_resources;-20.2;-0.285
Urumea;Diverted;Biofilm;Basal_food_resources;-21.695;0.15
Urumea;Diverted;Bryophyte;Basal_food_resources;-29.72;1.47
Urumea;Diverted;Bryophyte;Basal_food_resources;-29.21;0.97
Urumea;Diverted;Bryophyte;Basal_food_resources;-26.56;0.71
Urumea;Diverted;FPOM;Basal_food_resources;-27.855;0.45
Urumea;Diverted;FPOM;Basal_food_resources;-27.31;0.67
Urumea;Diverted;Anguilla_anguilla;Fish;-22.03;6.42
Urumea;Diverted;Anguilla_anguilla;Fish;-22.13;7.03
Urumea;Diverted;Anguilla_anguilla;Fish;-22.05;6.96
Urumea;Diverted;Anguilla_anguilla;Fish;-21.82;6.26
Urumea;Diverted;Anguilla_anguilla;Fish;-21.15;6.04
Urumea;Diverted;Phoxinus_bigerri;Fish;-19.59;5.47
Urumea;Diverted;Phoxinus_bigerri;Fish;-21.26;5.74
Urumea;Diverted;Phoxinus_bigerri;Fish;-21.07;6.34
Urumea;Diverted;Phoxinus_bigerri;Fish;-20.43;5.18
Urumea;Diverted;Salmo_trutta;Fish;-21.15;5.78
Urumea;Diverted;Salmo_trutta;Fish;-20.72;7.1
Urumea;Diverted;Salmo_trutta;Fish;-21.73;6.05
Urumea;Diverted;Salmo_trutta;Fish;-21.06;5.06
Urumea;Diverted;Salmo_trutta;Fish;-23.54;5.06
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-22.76;2.87
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-22.38;2.45
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-22.74;2.23
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-19.52;2.7
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-21.54;2.2
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-23.1;2.28
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-20.48;1.46
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-23.87;2.43
Urumea;Diverted;Rhyacophila;Predatory_invertebrates;-19.64;1.97
Urumea;Diverted;Baetis;Primary_consumers;-21.08;1.05
Urumea;Diverted;Baetis;Primary_consumers;-21.51;1.02
Urumea;Diverted;Baetis;Primary_consumers;-20.99;1
Urumea;Diverted;Baetis;Primary_consumers;-21.09;1.03
Urumea;Diverted;Baetis;Primary_consumers;-21.1;1.01
Urumea;Diverted;Baetis;Primary_consumers;-21.06;1.09
Urumea;Diverted;Baetis;Primary_consumers;-20.64;0.98
Urumea;Diverted;Baetis;Primary_consumers;-20.4;1.03
Urumea;Diverted;Baetis;Primary_consumers;-20.03;0.91
Urumea;Diverted;Ecdyonurus;Primary_consumers;-22.81;1.02
Urumea;Diverted;Ecdyonurus;Primary_consumers;-20.77;1.52
Urumea;Diverted;Ecdyonurus;Primary_consumers;-22.92;1.25
Urumea;Diverted;Ecdyonurus;Primary_consumers;-20.69;1.05
Urumea;Diverted;Ecdyonurus;Primary_consumers;-21.8;1.15
Urumea;Diverted;Echinogammarus;Primary_consumers;-23.14;1.22
Urumea;Diverted;Echinogammarus;Primary_consumers;-23.81;1.52
Urumea;Diverted;Echinogammarus;Primary_consumers;-22.33;1.05
Urumea;Diverted;Echinogammarus;Primary_consumers;-23.14;1.57
Urumea;Diverted;Ephemerella;Primary_consumers;-22.55;0.92
Urumea;Diverted;Ephemerella;Primary_consumers;-22.73;0.79
Urumea;Diverted;Ephemerella;Primary_consumers;-22.92;0.84
Urumea;Diverted;Ephemerella;Primary_consumers;-22.93;0.98
Urumea;Diverted;Ephemerella;Primary_consumers;-22.04;0.53
Urumea;Diverted;Ephemerella;Primary_consumers;-22.34;0.73
Urumea;Diverted;Ephemerella;Primary_consumers;-22.8;0.85
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.87;2.2
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.1;2.37
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.72;2.56
Urumea;Diverted;Hydropsyche;Primary_consumers;-24.03;2.53
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.2;2.06
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.81;2.02
Urumea;Diverted;Hydropsyche;Primary_consumers;-23.57;1.62
